14:38:22.183 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:39:35.765 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:39:35.766 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:39:56.848 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:39:56.848 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:41:15.002 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:41:15.003 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:42:12.898 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:42:12.898 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:43:11.138 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:43:11.138 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:43:24.600 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:43:24.600 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:43:35.456 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:43:35.456 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:57:51.247 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:57:51.249 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:00:59.087 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:00:59.089 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:02:15.729 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:02:15.730 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:04:31.276 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:04:31.276 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
